nagrajenec,država
Roger Penrose,United Kingdom
Harvey J. Alter,United States
Michael Houghton,United Kingdom
Charles M. Rice,United States
Benjamin List,Germany
David W.C. MacMillan,United Kingdom
Joshua Angrist,Israel
David Card,Canada
Guido W. Imbens,Netherlands
Abdulrazak Gurnah,Tanz.
Dmitry Muratov,Russia
Maria Ressa,Phillipines
Klaus Hasselmann,Germany
Manabe Syukuro,Japan
Giorgio Parisi,Italy
David Julius,United States
Ardem Patapoutian,United States
Carolyn R. Bertozzi,United States
Morten P. Meldal,Netherlands
Ben Bernanke,United States
Douglas Diamond,United States
Philip Dybvig,United States
Annie Ernaux,France
Ales Bialiatski,Belarus
Center for Civil Liberties,Ukraine
Memorial,Russia
Alain Aspect,France
John F. Clauser,United States
Anton Zeilinger,Austria
Svante Pääbo,Sweden
Moungi Bawendi,France
Louis Brus,United States
Alexei Ekimov,Russia
Claudia Goldin,United States
Jon Fosse,United States
Narges Mohammadi,Iran
Pierre Agostini,France
Ferenc Krausz,Hungary
Anne L'Huillier,France
Katalin Karikó,Hungary
Drew Weissman,United States
David Baker,United States
Demis Hassabis,United Kingdom
John M. Jumper,United States
Han Kang,South Korea
Nihon Hidankyo,Japan
John Hopfield,United States
Geoffrey Hinton,United Kingdom
Victor Ambros,United States
Gary Ruvkun,United States
