nagrajenec,država
Otto Hahn,Germany
Johannes V. Jensen,Denmark
Isidor Isaac Rabi,United States
Joseph Erlanger,United States
Herbert Spencer Gasser,United States
Artturi Ilmari Virtanen,Finland
Gabriela Mistral,Chile
Cordell Hull,United States
Wolfgang Pauli,Austria
Sir Ernst Boris Chain,United Kingdom
Sir Alexander Fleming,United Kingdom
"Howard Walter Florey, Baron Florey",Australia
John Howard Northrop,United States
Wendell Meredith Stanley,United States
James Batcheller Sumner,United States
Hermann Hesse,Switzerland
Emily Greene Balch,United States
John R. Mott,United States
Percy Williams Bridgman,United States
Hermann Joseph Muller,United States
Sir Robert Robinson,United Kingdom
André Gide,France
American Friends Service Committee,United States
Friends Service Council (FSC),United Kingdom
Sir Edward Victor Appleton,United Kingdom
Carl and Gerty Cori,United States
Bernardo Alberto Houssay,Argentina
Arne Tiselius,Sweden
T.S. Eliot,United Kingdom
Patrick M.S. Blackett,United Kingdom
Paul Hermann Müller,Switzerland
William Francis Giauque,United States
William Faulkner,United States
"John Boyd Orr, Baron Boyd-Orr of Brechin Mearns",United Kingdom
Yukawa Hideki,Japan
António Egas Moniz,Portugal
Walter Rudolf Hess,Switzerland
Kurt Alder,West Germany
Otto Paul Hermann Diels,West Germany
Bertrand Russell,United Kingdom
Ralph Bunche,United States
Cecil Frank Powell,United Kingdom
Philip Showalter Hench,United States
Edward Calvin Kendall,United States
Tadeus Reichstein,Switzerland
Edwin Mattison McMillan,United States
Glenn T. Seaborg,United States
Pär Lagerkvist,Sweden
Léon Jouhaux,France
Sir John Douglas Cockcroft,United Kingdom
Ernest Thomas Sinton Walton,Ireland
Max Theiler,South Africa
A.J.P. Martin,United Kingdom
R.L.M. Synge,United Kingdom
François Mauriac,France
Albert Schweitzer,Alsace
Felix Bloch,United States
E.M. Purcell,United States
Selman Abraham Waksman,United States
Hermann Staudinger,West Germany
Sir Winston Churchill,United Kingdom
George C. Marshall,United States
Frits Zernike,Netherlands
Sir Hans Adolf Krebs,United Kingdom
Fritz Albert Lipmann,United States
Linus Pauling,United States
Ernest Hemingway,United States
Office of the United Nations High Commissioner for Refugees,(founded 1951)
Max Born,United Kingdom
Walther Bothe,West Germany
John Franklin Enders,United States
Frederick Chapman Robbins,United States
Thomas H. Weller,United States
Vincent du Vigneaud,United States
Halldór Laxness,Iceland
Polykarp Kusch,United States
"Willis Eugene Lamb, Jr.",United States
Axel Hugo Teodor Theorell,Sweden
Sir Cyril Norman Hinshelwood,United Kingdom
Nikolay Nikolayevich Semyonov,Russia
Juan Ramón Jiménez,Spain
John Bardeen,United States
Walter H. Brattain,United States
William B. Shockley,United States
André F. Cournand,United States
Werner Forssmann,West Germany
Dickinson Woodruff Richards,United States
"Alexander Robertus Todd, Baron Todd",United Kingdom
Albert Camus,France
Lester B. Pearson,Canada
Tsung-Dao Lee,China
Chen Ning Yang,China
Daniel Bovet,Italy
Frederick Sanger,United Kingdom
Boris Leonidovich Pasternak,Russia
Dominique Pire,Belgium
Pavel Alekseyevich Cherenkov,Russia
Ilya Mikhaylovich Frank,Russia
Igor Yevgenyevich Tamm,Russia
George Wells Beadle,United States
Joshua Lederberg,United States
Edward L. Tatum,United States
Jaroslav Heyrovský,Czech Republic (Czechia)
Salvatore Quasimodo,Italy
"Philip John Noel-Baker, Baron Noel-Baker",United Kingdom
Owen Chamberlain,United States
Emilio Segrè,United States
Arthur Kornberg,United States
Severo Ochoa,United States
Willard Frank Libby,United States
Saint-John Perse,France
Albert John Luthuli,South Africa
Donald A. Glaser,United States
Sir Macfarlane Burnet,Australia
Sir Peter B. Medawar,United Kingdom
Melvin Calvin,United States
Ivo Andric,Yugoslavia
Dag Hammarskjöld,Sweden
Robert Hofstadter,United States
Rudolf Ludwig Mössbauer,West Germany
Georg von Békésy,United States
Sir John Cowdery Kendrew,United Kingdom
Max Ferdinand Perutz,United Kingdom
John Steinbeck,United States
Lev Davidovich Landau,Russia
Francis Harry Compton Crick,United Kingdom
James Dewey Watson,United States
Maurice Wilkins,United Kingdom
Giulio Natta,Italy
Karl Ziegler,West Germany
George Seferis,Greece
League of Red Cross Societies,
J. Hans D. Jensen,West Germany
Maria Goeppert Mayer,United States
Eugene Paul Wigner,United States
Sir John Carew Eccles,Australia
Sir Alan Hodgkin,United Kingdom
Sir Andrew Fielding Huxley,United Kingdom
Dorothy Mary Crowfoot Hodgkin,United Kingdom
Jean-Paul Sartre,France
"Martin Luther King, Jr.",United States
Nikolay Gennadiyevich Basov,Russia
Aleksandr Mikhaylovich Prokhorov,Russia
Charles Hard Townes,United States
Konrad Bloch,United States
Feodor Lynen,West Germany
R.B. Woodward,United States
Mikhail Aleksandrovich Sholokhov,Russia
United Nations Children's Fund,(founded 1946)
Richard P. Feynman,United States
Julian Seymour Schwinger,United States
Tomonaga Shin'ichiro,Japan
François Jacob,France
André Lwoff,France
Jacques Monod,France
Robert Sanderson Mulliken,United States
S.Y. Agnon,Israel
Nelly Sachs,Sweden
Alfred Kastler,France
Charles B. Huggins,United States
Peyton Rous,United States
Manfred Eigen,West Germany
Ronald George Wreyford Norrish,United Kingdom
Sir George Porter,United Kingdom
Miguel Ángel Asturias,Guatemala
Hans Bethe,United States
Ragnar Arthur Granit,Sweden
Haldan Keffer Hartline,United States
George Wald,United States
Lars Onsager,United States
Kawabata Yasunari,Japan
René Cassin,France
Luis W. Alvarez,United States
Robert William Holley,United States
Har Gobind Khorana,United States
Marshall William Nirenberg,United States
Sir Derek H.R. Barton,United Kingdom
Odd Hassel,Norway
Ragnar Frisch,Norway
Jan Tinbergen,Netherlands
Samuel Beckett,Ireland
International Labour Organisation,(founded 1919)
Murray Gell-Mann,United States
Max Delbrück,United States
A.D. Hershey,United States
Salvador Luria,United States
Luis Federico Leloir,Argentina
Paul Samuelson,United States
Aleksandr Isayevich Solzhenitsyn,Russia
Norman Ernest Borlaug,United States
Hannes Alfvén,Sweden
Louis-Eugène-Félix Néel,France
Julius Axelrod,United States
Ulf von Euler,Sweden
Sir Bernard Katz,United Kingdom
Gerhard Herzberg,Canada
Simon Kuznets,United States
Pablo Neruda,Chile
Willy Brandt,West Germany
Dennis Gabor,United Kingdom
"Earl W. Sutherland, Jr.",United States
Christian B. Anfinsen,United States
Stanford Moore,United States
William H. Stein,United States
Kenneth J. Arrow,United States
Sir John R. Hicks,United Kingdom
Heinrich Böll,West Germany
Leon N. Cooper,United States
John Robert Schrieffer,United States
Gerald Maurice Edelman,United States
Rodney Robert Porter,United Kingdom
Ernst Otto Fischer,West Germany
Sir Geoffrey Wilkinson,United Kingdom
Wassily Leontief,United States
Patrick White,Australia
Henry A. Kissinger,United States
Le Duc Tho,North Vietnam
Leo Esaki,Japan
Ivar Giaever,United States
Brian D. Josephson,United Kingdom
Karl von Frisch,Austria
Konrad Lorenz,Austria
Nikolaas Tinbergen,United Kingdom
Paul J. Flory,United States
Friedrich von Hayek,United Kingdom
Gunnar Myrdal,Sweden
Eyvind Johnson,Sweden
Harry Martinson,Sweden
Seán MacBride,Ireland
Sato Eisaku,Japan
Antony Hewish,United Kingdom
Sir Martin Ryle,United Kingdom
Albert Claude,United States
Christian René de Duve,Belgium
George E. Palade,United States
Sir John Warcup Cornforth,United Kingdom
Vladimir Prelog,Switzerland
Leonid Vitalyevich Kantorovich,Russia
Tjalling C. Koopmans,United States
Eugenio Montale,Italy
Andrey Dmitriyevich Sakharov,Russia
Aage N. Bohr,Denmark
Ben R. Mottelson,Denmark
James Rainwater,United States
David Baltimore,United States
Renato Dulbecco,United States
Howard Martin Temin,United States
"William Nunn Lipscomb, Jr.",United States
Milton Friedman,United States
Saul Bellow,United States
Mairéad Corrigan,Northern Ireland
Betty Williams,Northern Ireland
Burton Richter,United States
Samuel C.C. Ting,United States
Baruch S. Blumberg,United States
D. Carleton Gajdusek,United States
Ilya Prigogine,Belgium
James Edward Meade,United Kingdom
Bertil Ohlin,Sweden
Vicente Aleixandre,Spain
Amnesty International,(founded 1961)
Philip W. Anderson,United States
Sir Nevill F. Mott,United Kingdom
John H. Van Vleck,United States
Roger Charles Louis Guillemin,United States
Andrew Victor Schally,United States
Rosalyn S. Yalow,United States
Peter Dennis Mitchell,United Kingdom
Herbert Alexander Simon,United States
Isaac Bashevis Singer,United States
Menachem Begin,Israel
Anwar el-Sadat,Egypt
Pyotr Leonidovich Kapitsa,Russia
Arno Penzias,United States
Robert Woodrow Wilson,United States
Werner Arber,Switzerland
Daniel Nathans,United States
Hamilton Othanel Smith,United States
Herbert Charles Brown,United States
Georg Wittig,West Germany
Sir Arthur Lewis,United Kingdom
Theodore William Schultz,United States
Odysseus Elytis,Greece
Mother Teresa,India
Sheldon Lee Glashow,United States
Abdus Salam,Pakistan
Steven Weinberg,United States
Allan MacLeod Cormack,United States
Sir Godfrey Newbold Hounsfield,United Kingdom
Paul Berg,United States
Walter Gilbert,United States
Lawrence Robert Klein,United States
Czesław Miłosz,United States
Adolfo Pérez Esquivel,Argentina
James Watson Cronin,United States
Val Logsdon Fitch,United States
Baruj Benacerraf,United States
Jean-Baptiste-Gabriel-Joachim Dausset,France
George Davis Snell,United States
Fukui Kenichi,Japan
Roald Hoffmann,United States
James Tobin,United States
Elias Canetti,Bulgaria
Nicolaas Bloembergen,United States
Arthur Leonard Schawlow,United States
Kai Manne Börje Siegbahn,Sweden
David Hunter Hubel,United States
Roger Wolcott Sperry,United States
Torsten Nils Wiesel,Sweden
Aaron Klug,United Kingdom
George J. Stigler,United States
Gabriel García Márquez,Colombia
Alfonso García Robles,Mexico
Alva Myrdal,Sweden
Kenneth Geddes Wilson,United States
Sune K. Bergström,Sweden
Bengt Ingemar Samuelsson,Sweden
John Robert Vane,United Kingdom
Henry Taube,United States
Gerard Debreu,United States
Sir William Golding,United Kingdom
Lech Wałęsa,Poland
Subrahmanyan Chandrasekhar,United States
William A. Fowler,United States
Barbara McClintock,United States
Bruce Merrifield,United States
Sir Richard Stone,United Kingdom
Jaroslav Seifert,Czech Republic (Czechia)
Desmond Tutu,South Africa
Simon van der Meer,Netherlands
Carlo Rubbia,Italy
Niels K. Jerne,United Kingdom
Georges J.F. Köhler,West Germany
César Milstein,Argentina
Herbert A. Hauptman,United States
Jerome Karle,United States
Franco Modigliani,United States
Claude Simon,France
International Physicians for the Prevention of Nuclear War,(founded 1980)
Klaus von Klitzing,West Germany
Michael S. Brown,United States
Joseph L. Goldstein,United States
Dudley R. Herschbach,United States
Yuan T. Lee,United States
John C. Polanyi,Canada
James M. Buchanan,United States
Wole Soyinka,Nigeria
Elie Wiesel,United States
Gerd Binnig,West Germany
Heinrich Rohrer,Switzerland
Ernst Ruska,West Germany
Stanley Cohen,United States
Rita Levi-Montalcini,Italy
Donald J. Cram,United States
Jean-Marie Lehn,France
Charles J. Pedersen,United States
Robert Merton Solow,United States
Joseph Brodsky,United States
Oscar Arias Sánchez,Costa Rica
J. Georg Bednorz,West Germany
Karl Alex Müller,Switzerland
Tonegawa Susumu,Japan
Johann Deisenhofer,West Germany
Robert Huber,West Germany
Hartmut Michel,West Germany
Maurice Allais,France
Naguib Mahfouz,Egypt
United Nations Peacekeeping Forces,
Leon Max Lederman,United States
Melvin Schwartz,United States
Jack Steinberger,United States
Sir James Black,United Kingdom
Gertrude Belle Elion,United States
George Herbert Hitchings,United States
Sidney Altman,United States
Thomas Robert Cech,United States
Trygve Haavelmo,Norway
Camilo José Cela,Spain
Dalai Lama,Tibet
Hans Georg Dehmelt,United States
Wolfgang Paul,West Germany
Norman Foster Ramsey,United States
J. Michael Bishop,United States
Harold Varmus,United States
Elias James Corey,United States
Harry M. Markowitz,United States
Merton H. Miller,United States
William F. Sharpe,United States
Octavio Paz,Mexico
Mikhail Gorbachev,Russia
Jerome Isaac Friedman,United States
Henry Way Kendall,United States
Richard E. Taylor,Canada
Joseph E. Murray,United States
E. Donnall Thomas,United States
Richard R. Ernst,Switzerland
Ronald Coase,United States
Nadine Gordimer,South Africa
Aung San Suu Kyi,Myanmar
Pierre-Gilles de Gennes,France
Erwin Neher,Germany
Bert Sakmann,Germany
Rudolph A. Marcus,United States
Gary S. Becker,United States
Derek Walcott,St. Lucia
Rigoberta Menchú,Guatemala
Georges Charpak,France
Edmond H. Fischer,United States
Edwin Gerhard Krebs,United States
Kary B. Mullis,United States
Michael Smith,Canada
Robert William Fogel,United States
Douglass C. North,United States
Toni Morrison,United States
