nagrajenec,univerza
Bert Sakmann,Max Planck Institute for Medical Research
Paul Samuelson,Massachusetts Institute of Technology
Bengt I. Samuelsson,Karolinska Institute
Aziz Sancar,University of North Carolina at Chapel Hill
Frederick Sanger,University of Cambridge
Thomas J. Sargent,New York University
Jean-Pierre Sauvage,University of Strasbourg
Andrew Schally,"Veterans Administration Hospital, New Orleans"
Arthur Leonard Schawlow,Stanford University
Thomas Schelling,"University of Maryland, College Park"
Brian Schmidt,Australian National University
Myron Scholes,Long-Term Capital Management
John Robert Schrieffer,University of Pennsylvania
Richard R. Schrock,Massachusetts Institute of Technology
Erwin Schrödinger,Humboldt University of Berlin
Theodore Schultz,University of Chicago
Melvin Schwartz,Digital Pathways
Julian Schwinger,Harvard University
Glenn T. Seaborg,"University of California, Berkeley"
Emilio Segrè,"University of California, Berkeley"
Reinhard Selten,University of Bonn
Gregg L. Semenza,Johns Hopkins University
Amartya Sen,University of Cambridge
Lloyd Shapley,"University of California, Los Angeles"
Phillip Allen Sharp,Massachusetts Institute of Technology
William F. Sharpe,Stanford University
Karl Barry Sharpless,Scripps Research
Dan Shechtman,Technion – Israel Institute of Technology
Charles Scott Sherrington,University of Oxford
Robert J. Shiller,Yale University
Hideki Shirakawa,University of Tsukuba
William Shockley,Beckman Instruments
Clifford Shull,Massachusetts Institute of Technology
Kai Siegbahn,Uppsala University
Manne Siegbahn,Uppsala University
Herbert A. Simon,Carnegie Mellon University
Christopher A. Sims,Princeton University
Jens Christian Skou,Aarhus University
Richard Smalley,Rice University
George E. Smith,Bell Labs
George P. Smith,University of Missouri
Hamilton O. Smith,Johns Hopkins School of Medicine
Michael Smith,University of British Columbia
Vernon L. Smith,George Mason University
Oliver Smithies,University of North Carolina at Chapel Hill
George Smoot,"University of California, Berkeley"
George Davis Snell,Jackson Laboratory
Frederick Soddy,University of Oxford
Robert Solow,Massachusetts Institute of Technology
Hans Spemann,University of Freiburg
Michael Spence,Stanford University
Roger Wolcott Sperry,California Institute of Technology
Wendell Meredith Stanley,Rockefeller University
Johannes Stark,University of Greifswald
Hermann Staudinger,University of Freiburg
William Howard Stein,Rockefeller University
Ralph M. Steinman,Rockefeller University
Jack Steinberger,CERN
Otto Stern,Carnegie Mellon University
George Stigler,University of Chicago
Joseph Stiglitz,Columbia University
Fraser Stoddart,Northwestern University
Richard Stone,University of Cambridge
Horst Ludwig Störmer,Columbia University
Donna Strickland,University of Waterloo
John Sulston,Wellcome Sanger Institute
James B. Sumner,Cornell University
Earl Wilbur Sutherland Jr.,Vanderbilt University
Akira Suzuki,Hokkaido University
Theodor Svedberg,Uppsala University
Richard Laurence Millington Synge,The Rowett Institute
Albert Szent-Györgyi,University of Szeged
Koichi Tanaka,Shimadzu
Edward Tatum,Rockefeller University
Henry Taube,Stanford University
Joseph Hooton Taylor Jr.,Princeton University
Richard E. Taylor,Stanford University
Howard Martin Temin,University of Wisconsin–Madison
Richard Thaler,University of Chicago
Max Theiler,Rockefeller Foundation
Hugo Theorell,Karolinska Institute
E. Donnall Thomas,Fred Hutchinson Cancer Research Center
George Paget Thomson,University of London
J. J. Thomson,University of Cambridge
David J. Thouless,University of Washington
Jan Tinbergen,Netherlands School of Economics
Nikolaas Tinbergen,University of Oxford
Samuel C. C. Ting,Massachusetts Institute of Technology
Jean Tirole,Toulouse School of Economics
Arne Tiselius,Uppsala University
James Tobin,Yale University
Alexander R. Todd,University of Cambridge
Shin'ichirō Tomonaga,University of Tsukuba
Susumu Tonegawa,Massachusetts Institute of Technology
